treatment,biological_rep,villis_height,villis_width1,villis_width2,villis_width3,crypt_depth,goblet_count
9,3,269.22,55.7,60.34,33.31,27.38,74
9,3,203.82,57.3,54.61,42.89,20.93,85
9,3,235.22,60.89,47.04,51.77,25.83,92
9,3,249.59,47.11,70.1,48.35,29.61,79
9,4,236.21,26.34,29.82,38.65,20.41,75
9,4,247.77,31.68,30.95,20.7,18.88,84
9,4,245.35,33.51,34.21,33.67,38.04,68
9,4,260.29,26.11,22.49,25.09,16.39,75
9,4,271.2,28.74,28.35,33.66,21.72,83
9,4,279.65,37.25,37.35,27.32,23.34,97
9,4,243.31,32.02,41.94,35.06,29.52,100
9,4,223.95,38.94,30.24,19.36,22.56,108
9,4,218.15,30.06,36.54,30.5,25.57,99
9,4,175.61,28.48,27.16,35.47,18.26,87
9,5,274.31,38.14,46.39,28.36,31.92,62
9,5,289.88,25.86,29.76,36.41,22.52,61
9,5,229.65,40.51,38.16,28.42,25.38,49
9,5,220.42,34.08,50.64,39.82,24.47,84
9,5,205.9,42.17,30.1,13.65,26.04,93
9,5,280.61,37.57,80.96,48.42,21.19,97
9,5,291.72,24.21,31.28,48.15,31.47,91
9,5,264.38,41.11,36.7,30.52,30.03,67
9,5,333.59,39.2,52,64.76,23.81,82
9,5,321.93,39.15,40.6,54.28,24.06,59
9,6,270.36,34.7,38.49,42.05,33.6,57
9,6,248.84,43.57,38.16,33.58,35.29,68
9,6,285.47,50.29,44.58,43.21,21.2,72
9,6,279.88,43.99,41.76,35.52,20.13,59
9,6,267.93,32.65,32.66,39.68,29.91,86
9,6,264.48,46.77,48.08,50.25,34.24,88
9,6,294.99,40.75,49.23,40.84,25.22,92
9,6,256.63,54.79,57.81,50.67,21.13,73
9,6,282.01,42.61,43.24,37.7,39.21,74
9,6,259.59,40.3,39.38,31.7,28.3,77
9,7,260.93,35.43,35.29,46.19,22.15,94
9,7,288.53,40.3,36.49,45.92,14.07,95
9,7,247.21,29.29,37.34,45.83,18.32,83
9,7,268.17,31.17,41.53,51.35,20.66,81
9,7,271.89,36.39,60.07,47.15,21.19,75
9,7,208.99,40.09,33.15,36.19,18.1,69
9,7,279.36,33.34,33.39,38.67,28.3,67
9,7,334.72,38.04,51.28,46.97,20.69,88
9,7,309.78,42.05,21.73,16.17,29.45,97
9,7,323.85,38.8,35.62,40.46,21.51,104
